电影名称,评分,短评数量,热门短评
你的名字。,8.4,全部 223449 条,"['和《追逐繁星的孩子》同个毛病——一个平时专注于言情的人看了科幻小说之后可能就是这样的，他执着于用新学到的概念来包装自己的认知，而不是放手让这个概念去革新它。', '只有新海诚才能让我一次又一次感受到爱情的纯粹与美好。被爱情伤得遍体鳞伤的我，不再相信爱情的我，突然会想，不如再勇敢地去谈一场恋爱？嗯，好像可以！', '新海诚终于会讲一个复杂故事了，真不容易啊！当年那部搔首弄姿、无病呻吟的“言叶之庭”差点让我转成终身黑，“君之名”却轰出了我睽违已久的少女心。彗星降临的末世情怀，穿越时空的灵之绳结，只有7秒钟记忆的鱼...星空、爱情以及所有遇见都是注定。', '你我相逢在黑夜的空中，你有你的我有我的方向，你记得也好，最好你忘掉，在这交会时互放的光亮。', '可以给8颗星吗？跟看完预告片想象的剧情完全不一样好吗？！必须超级安利的片子。除了神木弟弟，上白石妹妹的声音也好好哦。\n难得看到late show满席的片子了。预计票房会超级好。\n']"
卢旺达饭店,8.9,全部 32042 条,"['屠杀纵然可怕，但更可怕的是对屠杀的漠视。', '卢旺达的孩子们从神职人员身边被拽开时，随着背景音乐，眼泪忍不住打转◎◎基于背景值得一看!', '电影没有什么花哨精巧的剪辑，有的只是质朴之中最撼动人心的真实。一个真实的故事一个真正的人间炼狱。当世界遗忘他们，国家陷入疯狂的时候，一个比辛德勒更加艰辛的男人在一个人人力求自保的环境下敞开了他的双臂。记住他的名字——保罗·卢斯萨巴基纳。★★★★☆', '一部会让我们灵魂受到强烈震颤的电影。通过饭店经理保罗在大屠杀中的经历，来纪念和反思人性中永恒的东西。虽然没有对大屠杀全景式的再现，却用深刻的心理描画使得观众的心灵受到同等的冲击。电影并非单纯的赞扬保罗，而是深沉的纪念普通人在灭绝人性的灾难中散发出的光辉，不仅仅是保罗。电影成功的做到了不忘记历史的目的.但这十年里，发生在非洲大陆上的、视生命如草芥的屠杀，从来便没有停歇过--谁又将见证，新的苦难与创伤...', '人祸最惨。可我们看完新闻，还是会安心的吃完晚餐。']"
人生果实,9.5,全部 28331 条,"['怎样才能活得像个人一样呢？爷爷90岁奶奶87，身为建筑家居住在二层木结构老屋里，每日在自家庭院里锄地拔草、捡落叶、挖土豆、摘樱桃梅子、采核桃柿子、做木工、熬果酱、烤蛋糕、酿酸奶、打年糕…还要给笔友写十封信，亲自骑车去邮局寄。住得像个人，吃得像个人，像个人一样工作，死得像个人，如此，就有了像个人的尊严一生。', '“老头子 之后的事我会努力活下去 放心吧 那个 你等我 等我生命到尽头变成骨灰的时候 我们一起周游南太平洋 等我到那个时候 说好了哦 一个人会很寂寞 但要好好的等着我 我很期待再见到你 我会好好活下去的”', '爱其实很小，它可以穿过针眼。', '可能我也是需要这样一幢平房这样一个庭院的精神病吧。', '这样活着，才会越老越觉得人生美丽。修一先生睡梦中逝去，是喜丧，又是高寿，而且死在妻子前面，夫人再也不用担心自己先死的话丈夫怎么办了。夫妻俩那么大年纪，却那么灵活，也没糊涂，丝毫没有暮气霭霭的感觉，真难得。老太太说女生一定不能没有笑容，除了睡觉时候不能躺着，真是让我惭愧。']"
釜山行,8.5,全部 165259 条,"['这部片子里的孕妇和甄嬛传里的孕妇战斗力不是一个次元的', '丧尸再也不是西方的专利了！韩国影人再一次向世人证明了他们非凡的叙事能力和精巧的借鉴本事。没有好莱坞式拯救人类的大英雄主义，多了的是人性的反思与情感的刻画。无论怎么看，这部电影都是亚洲影界的头一遭，五星鼓励！', '好过美国的《僵尸世界大战》，韩国在丧尸类型片的开拓一出手就登峰造极，个别桥段快准狠到了心骨眼！最后孕妇和小女孩穿过隧道如果遇到河正宇，那这片就真的是神作了！＝。＝', '这绝壁是散户在电影史上被黑得最厉害的一次……万恶的基金经理在收割韭菜后依然成了英雄……', '爸爸知道自己感染快不行了，最后时刻回忆起女儿出生时的情景，笑着从车尾掉下去。这一段还是比较感人的。但影片整体不算精彩，且韩国电影特容易出现的人物发愣、呆滞的节奏，此片也不断出现，言情剧出现这个还能理解，但你这是丧尸片啊，人物的表情停顿时间过长很影响观感']"
雨人,8.7,全部 41318 条,"['我可不可以把它看成一部公路片，某种程度。', 'ray……听上去很像rain，愚顿的哥哥曾经对心爱的弟弟说，我是rain man。直到生命进行到成人的阶段，弟弟才突然想起，童年时，他的生活中曾经有一个爱他疼他的雨人……', '年轻帅气的阿汤哥，让人眼前一亮的霍夫曼。故事简简单单，配乐大气，并没有特别煽情的段落，不刻意讨好，不哗众取宠，让人看起来十分舒服，让人感动在不知不觉中。★★★☆', '原来童年最好的伙伴竟然是最亲密的兄长', '任性是缺点，坚持任性就是自闭症，我不过是病的稍微重一点儿而已，就已经很难被世界容忍了']"
忠犬八公物语,9.2,全部 17015 条,"['喜欢教授那句话：人有人格，狗也有“狗格”。日本动物爱护管理中心主页上写着：1.无法继续豢养的动物，请不要丢弃（以前是免费，现在只需交付2000日元即可由保护中心收容接管）。2. 遗弃、虐待动物是犯罪。3. 遗弃动物者，处以50万日元以下罚款。4. 杀、伤动物者，处以一年以下刑拘或100万元以下罚款。', '看過才感受到美國版跟日本版的極大區別，除去整個情緒上的控制度，看過日本版才能理解為什麼阿八會用牠的餘生去等待主人，因為教授實在太愛牠了啊！教授對牠的那種愛和呵護是美國版完全沒有表現出來的，如果先看美國版會認為這是一隻神犬，跟主人之間的情感是冥冥中的，但日本版告訴我愛絕對是相互的。', '美版突出悲伤氛围的塑造，日版则显得更加真实。除了八公与主人外，日版更多地刻画了八公与其他一些人之间的种种。相比美版里大家都爱的八公，日版里的八公则是忠诚过头而遭到其他人厌烦像踢皮球一般推搡的对象，也因此更加真实感人。', '因为也喜欢小狗狗，所以这部电影让我很感动，爱与责任，一旦选择，终身负责', '很感人的故事，觉得这版很好，“阿八，为什么等一个不回来的人”进度条一半就开始哭，平淡的剧情，后面教授去世开始虐心，小细节动人，后来阿八太凄凉了']"
头脑特工队,8.7,全部 86992 条,"['这要不是明年的奥斯卡，我直播吃三斤翔。    2015  6.21', '皮克斯第一部没有反派的动画也是其最大胆的作品。整部影片在给孩子看的低龄冒险故事之下，满是只有成年人才能体会到的源自生活的非凡想像力和创造力，核心记忆，个性小岛，抽象空间，造梦制片厂，潜意识监狱，遗忘深渊... 而一如既往的欢笑与感动更使之成功挤进皮克斯TOP之列。', '这几年看的最悲伤的一个动画，皮克斯回归神作，#戛纳电影节#放映时掌声雷动，一开始最讨厌sadness，看到最后却最明白她，原声Bundle of Joy太好听了，bingbang那一幕让我和隔壁的美国妹子哭成狗，悲伤是觉得如果我脑里也有数个小岛，有些岛应该早已毁掉也不会再修复。结尾小彩蛋太棒。', '全片我大概50多次情不自禁的 “哇”， 甚至看到热泪盈眶。皮克斯的人都是从另一个世界里走出来的，太有创意了。结尾彩蛋，终于知道喵星人为什么都是蛇精病了，哈哈', '简直不得不佩服这把各种情绪拟人化的想象力，超乎想象的完美诠释！各种情节人物关系的转变，到成长后懂得的复合情感，简直连最后猫狗的头脑都描绘得太形象，那个曾经第一的Pixar终于回来了。']"
模仿游戏,8.7,全部 85958 条,"['看完之后才理解为什么学校的数学楼叫alan turing building，为什么工程学院的咖啡馆叫enigma cafe', '重度虐伤。我承受不了图灵所承受的这种委屈，這個世界亏欠他太多太多。', '什么片子配上Alexandre Desplat这种学院派的煽情配乐都能让你感动，更别提这片子还有讨人喜欢的腐国文艺片气质，还有男女主角优秀的表演和一群熟脸配戏，背后还隐藏着一个伟大的男同爱情故事。不过将图灵的一生编排进这样的颁奖季类型片，时代背景，无名英雄，天才与自闭，没什么惊喜。★★★', '真的很好看…最后简单冷静的几行叙述文字本来我有一种欣慰的感动但准备会心一笑又觉得一种莫名的委屈，然后“噗哧”一声我就哭了出来…真的是五味陈杂啊T~T and thank you for bringing Turing back', '最后她去看望他，拥抱他。他孤独地站在那一排为之奉献一生并恩泽全人类的庞大机器面前说，I’m not alone，never have been。然后伸手抚摸那些柔软的冰冷。它是他的恋人。而谁记得，孤独的孩子，你是造物的恩宠。']"
一个叫欧维的男人决定去死,8.8,全部 62226 条,"['我也拦过在小区开大灯的傻逼，把车开上人行道的傻逼，骂过让狗在电梯撒尿的傻逼，就要这样和傻逼干下去。', '忧郁蓝为构色基调，适当的黑色幽默略显温馨，亡妻回忆杀构建出老人高大的男友力max形象，毒舌暴戾的外衣下是颗极感性的心，所有的抱怨均是对这片土地爱的深沉，古板和偏执让人格更显真实。当然，作为北欧片少不了提下环境与人文问题。北欧的天和一个一生爱你的男人，这就是女人一生想要的了吧。', '剧情其实特别套路，每一个步骤都似曾相识。欧维就像飞屋环游记中的卡尔，怀念着完美的故人的同时偏执和固执被邻居一点一点的磨平最终变亲近。淡淡的音乐伴随着平凡又不平凡的小人物的一生。最后一幕真的无法不想到泰坦尼克吧。', '越多白痴的声音议论她，我对她仅存的回忆就越少。', '笑了哭哭了笑。人老了真的很容易变得“讨人嫌”：我奶奶八十多岁有一次不小心滑倒骨折，之后她每天都在说，我为什么还不死，活着简直就在给大家添麻烦。那时候我回去看她，被她念得头疼。现在她九十好几，以为我还只有十五六岁，她好像记不太清年月，但有时候我又觉得，她其实什么都清楚。']"
黑客帝国3：矩阵革命,8.7,全部 24634 条,"['严重被低估的好片。我走到哪里都为它叫好平反。', '相对于第一部与第二部，这次的完结篇动作场面和特技场面大幅增加。以表达“和平”为战争的主要目的，并且还有几条感情分支为辅助，以大规模机器人作战和最终一战都堪称完美，也让这个经典的科幻作品画上了完美的休止符。★★★★', '一部比一部差', '黑客帝国全套都喜欢,有空再看...嘎嘎', '第三部主题升华了，华丽丽的锡安大决战']"
你看起来好像很好吃,8.9,全部 59855 条,"['里面的恐龙都像是一群会走路会说话的龟头', '这个故事告诉我们霸王龙也是可以过肩摔的！！！！！！（小甲龙的声音怎么可以这么萌T▽T（话说这片是天然腐啊兄弟爱父子情敌友CP啥的', '无论你去往何方，不管何时何地，我都会永远永远的爱着你。', '怎么看都是个大悲剧啊！！最后……这群萌萌的恐龙们……全都灭绝了。', '不好这么萌 会被吃掉的 o(TヘTo) \r\n\r\n']"
